# .text relocations, oplus_security_guard.ko
# relocations for .text: 214 entries
# offset     type                   target
  0x5cc      ADD_ABS_LO12_NC        .rodata+0x55d
  0x60c      CALL26                 memset
  0x610      ADR_PREL_PG_HI21       .rodata+0x57e
  0x614      ADD_ABS_LO12_NC        .rodata+0x57e
  0x630      ADR_PREL_PG_HI21       .rodata+0x1c
  0x634      ADR_PREL_PG_HI21       .rodata+0x527
  0x640      ADD_ABS_LO12_NC        .rodata+0x1c
  0x644      ADD_ABS_LO12_NC        .rodata+0x527
  0x654      CALL26                 snprintf
  0x66c      CALL26                 kevent_send_to_user
  0x678      LDST32_ABS_LO12_NC     heapspary_ip4+0x1c
  0x684      ADR_PREL_PG_HI21       .rodata+0x59
  0x688      ADR_PREL_PG_HI21       .rodata+0x50a
  0x68c      ADD_ABS_LO12_NC        .rodata+0x59
  0x690      ADD_ABS_LO12_NC        .rodata+0x50a
  0x694      CALL26                 printk
  0x698      ADR_PREL_PG_HI21       heapspary_ip4+0x1c
  0x69c      ADR_PREL_PG_HI21       .rodata+0x55d
  0x6a0      ADD_ABS_LO12_NC        heapspary_ip4+0x1c
  0x6a4      ADD_ABS_LO12_NC        .rodata+0x55d
  0x6e4      CALL26                 memset
  0x6e8      ADR_PREL_PG_HI21       .rodata+0x57e
  0x6ec      ADD_ABS_LO12_NC        .rodata+0x57e
  0x708      ADR_PREL_PG_HI21       .rodata+0x1c
  0x70c      ADR_PREL_PG_HI21       .rodata+0x527
  0x718      ADD_ABS_LO12_NC        .rodata+0x1c
  0x71c      ADD_ABS_LO12_NC        .rodata+0x527
  0x72c      CALL26                 snprintf
  0x744      CALL26                 kevent_send_to_user
  0x750      LDST32_ABS_LO12_NC     heapspary_cpuinfo+0x4
  0x75c      ADR_PREL_PG_HI21       .rodata+0x205
  0x760      ADR_PREL_PG_HI21       .rodata+0x50a
  0x764      ADD_ABS_LO12_NC        .rodata+0x205
  0x768      ADD_ABS_LO12_NC        .rodata+0x50a
  0x76c      CALL26                 printk
  0x770      ADR_PREL_PG_HI21       heapspary_cpuinfo+0x4
  0x774      ADR_PREL_PG_HI21       .rodata+0x55d
  0x778      ADD_ABS_LO12_NC        heapspary_cpuinfo+0x4
  0x77c      ADD_ABS_LO12_NC        .rodata+0x55d
  0x7bc      CALL26                 memset
  0x7c0      ADR_PREL_PG_HI21       .rodata+0x57e
  0x7c4      ADD_ABS_LO12_NC        .rodata+0x57e
